Zone,Oct-18,Oct-19
Zone 1 - Downtown Montréal/Îles-des-Soeurs,2.6,2.5
Zone 2 - Sud-Ouest/Verdun,1.1,0.3
Zone 3 - LaSalle,**,0.6
Zone 4 - ND-de-Grâce/Ct-St-Luc etc.,2.8,2.6
Zone 5 - Ct-des-Neiges/Mt-Royal/Outremont,2.0,1.7
Zone 6 - Plateau-Mont-Royal,1.5,**
Zone 7 - Villeray/St-Michel/Pc-Extension,0.7,1.0
Zone 8 - Hochelaga-Maisonneuve,**,**
Zone 9 - Rosemont/La Petite-Patrie,**,1.3
Zone 10 - Anjou/Saint-Léonard,**,**
Zone 11 - Montréal-Nord,4.0,**
Zone 12 - Ahuntsic/Cartierville,**,**
Zone 13 - Saint-Laurent,3.2,3.1
Zone 14 - Dorval/Lachine/Saint-Pierre,3.7,2.7
Zone 15 - Baie-d'Urfé/Beaconsfield etc.,1.5,1.3
Zone 16 - Sainte-Geneviève/Senneville etc.,2.6,2.0
Zone 17 - Mercier,0.9,**
Zone 18 - Pte-aux-Trembles/Montréal-E etc.,2.7,1.8
Zone 19 - Chomedey/Sainte-Dorothée,**,2.6
Zone 20 - Laval-des-Rapides,1.8,0.6
Zone 21 - Pont-Viau,2.2,0.8
Zone 22 - St-François/St-Vincent/Duvernay,1.5,0.8
Zone 23 - Vimont/Auteuil,0.1,1.0
Zone 24 - Laval-Ouest/Fabreville/Ste-Rose,1.5,0.8
Zone 25 - Mirabel/Oka/Pointe-Calumet etc.,0.8,0.8
Zone 26 - Blainville/Ste-Thérèse etc.,0.8,1.2
Zone 27 - Mascouche/Terrebonne etc.,0.8,0.4
Zone 28 - L'Assomption/Lavaltrie etc.,1.4,**
Zone 29 - St-Jérôme/Gore/St-Colomban etc.,**,0.9
Zone 39 - Saint-Lin–Laurentides V,**,**
Zone 30 - Longueuil,2.0,1.5
Zone 31 - Boucherville/Brossard etc.,2.0,1.9
Zone 32 - Beauharnois/La Prairie/Léry etc.,2.1,1.1
Zone 33 - Beloeil/McMasterville etc.,0.8,1.2
Zone 34 - Carignan/Chambly/St-Mathias etc.,**,0.1
Zone 36 - Saint-Jean,1.6,1.2
Zone 37 - Iberville,0.6,0.4
Zone 38 - Saint-Luc,0.4,0.3
Zone 35 - ND-de-L'île-Perrot/Pincourt etc.,1.0,2.1
